,0,DeltaPressure
76,-1147.9995316433426,-213.0200000000004
77,-960.4608660047928,-338.3900000000003
78,-1135.1550779067754,-365.08000000000084
79,-694.449559692529,-393.96
80,-184.01745477697193,-125.36999999999986
81,-184.01745477697193,-152.0600000000004
82,-184.01745477697193,-180.93999999999957
83,-184.01745477697193,-26.69000000000051
84,-184.01745477697193,-55.56999999999972
85,-184.01745477697193,-28.8799999999992
86,-915.1280771690624,-873.6599999999999
87,-217.59170288430792,-113.21000000000004
88,-699.6017671600845,-447.07000000000016
89,-2124.418678334534,-2911.25
90,-2089.2377910966507,-2464.18
91,-1312.2157160292277,-1072.63
92,-1397.5237675680994,-1739.42
93,-1449.3173406619474,-1837.44
94,-1449.3173406619474,-1636.11
95,-1449.3173406619474,-1386.8300000000006
96,-394.53033314664486,-666.79
97,-578.9874114259408,-764.81
98,-646.057017896836,-563.48
99,-487.56450162005876,-314.2000000000001
100,-272.99201961449313,-98.01999999999998
101,-1696.7948017830768,-2263.33
102,-1870.335637026062,-1352.84
103,-232.65781888216287,-0.7100000000000364
104,-232.65781888216287,-67.82999999999993
105,-202.03073139428972,-67.11999999999989
106,-1384.2314827783891,-737.3699999999994
107,-1343.678686033831,-860.2199999999992
108,-993.8360185383242,-122.84999999999992
109,-297.3726076557997,-123.78999999999996
110,-297.3726076557997,-260.27999999999975
111,-651.103651950272,-10.61999999999989
112,-727.0983541725785,-36.02999999999975
113,-759.8221375796354,-63.8800000000001
114,-217.59170288430792,-136.48999999999978
115,-217.59170288430792,-25.40999999999985
116,-250.48689846209422,-53.26000000000022
117,-217.59170288430792,-27.850000000000364
118,-1233.924885246011,-634.3199999999998
119,-1325.883318243987,-824.3199999999997
120,-742.7463852506365,-190.0
121,-299.0872608807846,-50.79999999999972
122,-338.03319845439853,-112.08999999999969
123,-338.03319845439853,-155.38999999999942
124,-314.54362926823023,-152.91999999999962
125,-338.03319845439853,-167.65999999999985
126,-184.01745477697193,-61.28999999999997
127,-184.01745477697193,-104.58999999999969
128,-184.01745477697193,-102.11999999999986
129,-184.01745477697193,-116.86000000000013
130,-184.01745477697193,-43.29999999999972
131,-184.01745477697193,-40.82999999999993
132,-184.01745477697193,-55.57000000000015
133,-184.01745477697193,-12.270000000000437
134,-184.01745477697193,-14.740000000000231
135,-1079.4193240865275,-1255.5500000000004
136,-1097.880249181822,-1893.6600000000005
137,-713.064482938376,-638.1100000000001
138,-263.8635847392118,-97.28999999999996
139,-335.87867173674164,-350.50999999999976
140,-461.0215398878924,-363.9699999999999
141,-461.0215398878924,-467.0899999999997
142,-228.1461705414368,-253.2199999999998
143,-449.8957780509445,-266.67999999999984
144,-407.1342831391669,-369.79999999999967
145,-335.6251165383916,-13.460000000000036
146,-335.6251165383916,-116.57999999999993
147,-207.59927657044304,-103.11999999999986
148,-207.59927657044304,-748.2399999999997
149,-806.4925067510009,-409.3199999999997
150,-537.9299023463201,-1129.96
151,-395.083870180093,-720.6400000000003
152,-361.08277127899413,-73.01000000000022
153,-361.08277127899413,-367.4799999999996
154,-361.08277127899413,-632.4899999999998
155,-395.083870180093,-671.1000000000004
156,-395.083870180093,-875.96
157,-527.6129341732188,-294.4699999999993
158,-437.71659085678465,-559.4799999999996
159,-437.71659085678465,-598.0900000000001
160,-527.6129341732188,-802.9499999999997
161,-527.6129341732188,-265.0100000000002
162,-527.6129341732188,-303.6200000000008
163,-560.1799071940061,-508.48000000000053
164,-527.6129341732188,-38.610000000000575
165,-560.1799071940061,-243.47000000000025
166,-437.71659085678465,-204.8599999999997
167,-1558.8829612483967,-315.7100000000001
168,-1708.1357331775557,-2100.2200000000007
169,-671.8696454066276,-1784.5100000000002
170,-362.91322045241276,-77.86999999999989
171,-912.4960140835221,-1530.5100000000002
172,-888.4089264271919,-1560.71
173,-1027.5995673548168,-2445.6800000000007
174,-879.1722889327345,-1452.6400000000006
175,-925.1993277147606,-1482.84
176,-1064.3899686423854,-2367.8100000000004
177,-423.18989940140693,-1536.3900000000006
178,-587.1426131835144,-1566.59
179,-632.3763063267995,-2451.5600000000004
180,-335.00720625295946,-30.19999999999981
181,-484.9585334325485,-915.1699999999997
182,-377.13311912693695,-884.97
183,-1994.0709632898665,-3146.36
184,-2189.8025066980736,-2815.32
185,-320.4427760914226,-60.60000000000037
186,-584.6482487658922,-73.3000000000002
187,-343.6464863100267,-12.699999999999818
188,-281.2005719567545,-153.26999999999995
189,-281.2005719567545,-229.7800000000002
190,-1185.31540411495,-1157.0700000000004
191,-1384.2314827783891,-644.8800000000001
192,-445.82264219288464,-85.89000000000033
193,-199.44372165318094,-0.6499999999996362
194,-890.6658325284434,-611.8299999999998
195,-1111.1374323928528,-699.2999999999993
196,-855.7809667686724,-87.46999999999935
197,-186.53633630522748,-43.650000000000546
198,-194.57192243410083,-39.80000000000018
199,-222.47793663355415,-40.490000000000684
200,-267.26018923618165,-50.940000000000495
201,-222.47793663355415,-56.86000000000058
202,-174.02502846310705,-7.2899999999999645
203,-194.57192243410083,-13.210000000000036
204,-174.02502846310705,-0.6900000000005093
205,-185.4509535400827,-11.14000000000033
206,-174.02502846310705,-17.0600000000004
207,-221.8814884139345,-10.449999999999818
208,-174.02502846310705,-16.36999999999989
209,-174.02502846310705,-5.920000000000073
210,-1340.587940781716,-761.0300000000003
211,-1578.6239689017002,-1049.2600000000002
212,-1131.404683256436,-288.23
213,-278.4657121513326,-98.65999999999985
214,-317.43703767459994,-190.29999999999973
215,-534.1123872582291,-198.63999999999987
216,-317.43703767459994,-211.75999999999974
217,-499.78102448577727,-232.29999999999973
218,-245.4578747862247,-91.63999999999987
219,-534.1123872582291,-99.98000000000002
220,-332.54429517925604,-113.09999999999992
221,-549.062069213802,-133.63999999999987
222,-272.74080441672106,-8.340000000000147
223,-207.59927657044304,-21.460000000000036
224,-279.31608104128713,-42.0
225,-207.59927657044304,-13.11999999999989
