Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L14minusL12,-71.81999999999971
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L16minusL12,-113.56999999999971
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L18minusL12,-155.73999999999978
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L16minusL14,-41.75
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L18minusL14,-83.92000000000007
3,-5045.709999999963,5528.2400000002235,3249.78,-2450.0,14.16,L18minusL16,-42.17000000000007
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,S02minusS92,-2334.38
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,S12minusS92,-3365.9900000000002
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,S12minusS02,-1031.6100000000001
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L6minusL1,-296.1999999999998
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L12minusL1,-430.1100000000001
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L14minusL1,-515.19
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L16minusL1,-525.7999999999997
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L18minusL1,-613.27
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L12minusL6,-133.9100000000003
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L14minusL6,-218.99000000000024
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L16minusL6,-229.5999999999999
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L18minusL6,-317.07000000000016
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L14minusL12,-85.07999999999993
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L16minusL12,-95.6899999999996
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L18minusL12,-183.15999999999985
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L16minusL14,-10.609999999999673
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L18minusL14,-98.07999999999993
4,-2331.0100000000093,9970.120000000112,5067.69,-2545.47,8.0,L18minusL16,-87.47000000000025
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,S02minusS92,-993.4700000000003
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,S12minusS92,-2690.0800000000004
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,S12minusS02,-1696.6100000000001
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L6minusL1,-750.4300000000003
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L12minusL1,-1254.0
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L14minusL1,-1458.1800000000003
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L16minusL1,-1557.2800000000007
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL1,-1702.2900000000004
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L12minusL6,-503.5699999999997
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L14minusL6,-707.75
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L16minusL6,-806.8500000000004
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL6,-951.8600000000001
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L14minusL12,-204.1800000000003
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L16minusL12,-303.28000000000065
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL12,-448.2900000000004
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L16minusL14,-99.10000000000036
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL14,-244.11000000000013
5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL16,-145.00999999999976
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,S02minusS92,-1545.38
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,S12minusS92,-2594.0699999999997
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,S12minusS02,-1048.6899999999996
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L6minusL1,-446.5799999999999
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L12minusL1,-871.23
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L14minusL1,-971.6399999999999
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L16minusL1,-762.0499999999997
6,-6216.349999999977,4427.5999999996275,4432.51,-2511.0,11.47,L18minusL1,-994.75
