,Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure,co,ai,4D qual Fact
60,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L18minusL12,-183.15999999999985,-1.74,0.01,99.35
61,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L16minusL14,-10.609999999999673,-1.23,0.11,99.35
62,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L18minusL14,-98.07999999999993,-1.07,0.2,99.35
63,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L18minusL16,-87.47000000000025,0.0,0.11,99.35
64,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,S02minusS92,-993.4700000000003,0.7,4.13,100.0
65,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,S12minusS92,-2690.080000000001,1.37,3.88,100.0
66,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,S12minusS02,-1696.61,0.76,0.85,100.0
67,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L6minusL1,-750.4300000000003,-27.91,2.02,100.0
68,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L12minusL1,-1254.0,-26.77,5.55,100.0
69,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L14minusL1,-1458.1800000000005,-32.93,5.59,100.0
70,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L16minusL1,-1557.2800000000007,-31.28,5.62,100.0
71,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL1,-1702.2900000000006,-48.17,6.65,100.0
72,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L12minusL6,-503.5699999999997,-2.22,3.58,100.0
73,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L14minusL6,-707.75,-8.58,3.66,100.0
74,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L16minusL6,-806.8500000000003,-8.58,3.59,100.0
75,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL6,-951.86,-21.07,4.67,100.0
76,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L14minusL12,-204.1800000000003,0.0,0.31,100.0
77,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L16minusL12,-303.2800000000006,-3.86,0.33,100.0
78,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL12,-448.29000000000036,-7.6,1.4,100.0
79,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L16minusL14,-99.10000000000036,-4.76,0.18,100.0
80,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL14,-244.11000000000013,-9.82,1.15,100.0
81,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,L18minusL16,-145.00999999999976,-0.67,1.07,100.0
82,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,S02minusS92,-1545.38,2.96,3.84,87.86
83,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,S12minusS92,-2594.07,3.72,11.41,87.86
84,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,S12minusS02,-1048.6899999999996,1.07,7.98,87.86
85,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L6minusL1,-446.57999999999987,-14.64,1.84,87.86
86,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L12minusL1,-871.23,-11.17,4.66,87.86
87,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L14minusL1,-971.64,-19.1,4.35,87.86
88,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L16minusL1,-762.0499999999997,-16.45,5.31,87.86
89,6,-6216.349999999977,4427.599999999628,4432.51,-2511.0,11.47,L18minusL1,-994.75,-30.47,5.28,87.86
