,x,y,Z,0
0,-4077.719999999972,7186.5099999997765,-2396.25,-1453.4482494001402
1,-4077.719999999972,7186.5099999997765,-2396.25,-1660.9933508245044
2,-4077.719999999972,7186.5099999997765,-2396.25,-193.65356056918287
3,-3894.4299999999935,6854.040000000035,-2406.37,-1405.389233851049
4,-3894.4299999999935,6854.040000000035,-2406.37,-1405.389233851049
5,-3894.4299999999935,6854.040000000035,-2406.37,-1102.4973295312586
6,-3894.4299999999935,6854.040000000035,-2406.37,-157.84080352953777
7,-3894.4299999999935,6854.040000000035,-2406.37,-915.0234530759647
8,-3894.4299999999935,6854.040000000035,-2406.37,-1427.9628380074103
9,-3894.4299999999935,6854.040000000035,-2406.37,-1191.3072631922323
10,-3894.4299999999935,6854.040000000035,-2406.37,-1393.6549717135747
11,-3894.4299999999935,6854.040000000035,-2406.37,-407.81458157954074
12,-3894.4299999999935,6854.040000000035,-2406.37,-580.871028049521
13,-3894.4299999999935,6854.040000000035,-2406.37,-597.6025280495211
14,-3894.4299999999935,6854.040000000035,-2406.37,-1019.2418204161988
15,-3894.4299999999935,6854.040000000035,-2406.37,-188.0331869823495
16,-3894.4299999999935,6854.040000000035,-2406.37,-211.42500760091457
17,-3894.4299999999935,6854.040000000035,-2406.37,-591.1216429760374
18,-3894.4299999999935,6854.040000000035,-2406.37,-399.93419332041105
19,-3894.4299999999935,6854.040000000035,-2406.37,-399.93419332041105
20,-6651.530000000028,4047.1699999999255,-2527.26,-1695.9339148068946
21,-6651.530000000028,4047.1699999999255,-2527.26,-2416.9513454497064
22,-6651.530000000028,4047.1699999999255,-2527.26,-1248.564939915891
23,-6651.530000000028,4047.1699999999255,-2527.26,-735.9768802364881
24,-6651.530000000028,4047.1699999999255,-2527.26,-1175.2976778464508
25,-6651.530000000028,4047.1699999999255,-2527.26,-1198.307011950814
26,-6651.530000000028,4047.1699999999255,-2527.26,-1192.2562778464508
27,-6651.530000000028,4047.1699999999255,-2527.26,-1369.374506904166
28,-6651.530000000028,4047.1699999999255,-2527.26,-291.71503843541603
29,-6651.530000000028,4047.1699999999255,-2527.26,-283.7180384354161
30,-6651.530000000028,4047.1699999999255,-2527.26,-1033.015429448251
31,-6651.530000000028,4047.1699999999255,-2527.26,-543.2543403927184
32,-6651.530000000028,4047.1699999999255,-2527.26,-261.4223344948888
33,-6651.530000000028,4047.1699999999255,-2527.26,-277.1716077387922
34,-6651.530000000028,4047.1699999999255,-2527.26,-247.3653344948887
35,-6651.530000000028,4047.1699999999255,-2527.26,-261.4223344948888
36,-6651.530000000028,4047.1699999999255,-2527.26,-247.3653344948887
37,-6651.530000000028,4047.1699999999255,-2527.26,-247.3653344948887
38,-2702.780000000028,12178.280000000259,-2629.99,-765.3594609769171
39,-2702.780000000028,12178.280000000259,-2629.99,-1059.411922910032
40,-2702.780000000028,12178.280000000259,-2629.99,-1090.5452562433654
41,-2702.780000000028,12178.280000000259,-2629.99,-378.66545383286103
42,-2702.780000000028,12178.280000000259,-2629.99,-1039.3649588853464
43,-2702.780000000028,12178.280000000259,-2629.99,-1028.3672352903886
44,-2702.780000000028,12178.280000000259,-2629.99,-1068.551610290389
45,-2702.780000000028,12178.280000000259,-2629.99,-1422.170044624378
46,-2702.780000000028,12178.280000000259,-2629.99,-1031.8541356360108
47,-2702.780000000028,12178.280000000259,-2629.99,-1178.6435526543964
48,-2702.780000000028,12178.280000000259,-2629.99,-1178.6435526543964
49,-2702.780000000028,12178.280000000259,-2629.99,-1422.170044624378
50,-2702.780000000028,12178.280000000259,-2629.99,-390.009655364706
51,-2702.780000000028,12178.280000000259,-2629.99,-1166.9389667913288
52,-2702.780000000028,12178.280000000259,-2629.99,-1142.329878191686
53,-2702.780000000028,12178.280000000259,-2629.99,-1033.547898756422
54,-4552.650000000023,8101.370000000114,-2420.19,-839.6516790886438
55,-4552.650000000023,8101.370000000114,-2420.19,-2055.5563379912955
56,-4552.650000000023,8101.370000000114,-2420.19,-1554.5775969674173
57,-4552.650000000023,8101.370000000114,-2420.19,-540.2639295462692
58,-4552.650000000023,8101.370000000114,-2420.19,-604.8935577421937
59,-4552.650000000023,8101.370000000114,-2420.19,-805.2261689424598
60,-4552.650000000023,8101.370000000114,-2420.19,-899.1868678033213
61,-4552.650000000023,8101.370000000114,-2420.19,-1125.8162284330233
62,-4552.650000000023,8101.370000000114,-2420.19,-578.5254386354014
63,-4552.650000000023,8101.370000000114,-2420.19,-684.0927116647832
64,-4552.650000000023,8101.370000000114,-2420.19,-608.0062473876421
65,-4552.650000000023,8101.370000000114,-2420.19,-604.8935577421937
66,-4552.650000000023,8101.370000000114,-2420.19,-258.36247887891784
67,-2463.950000000012,9431.790000000035,-2509.56,-1533.9600889956507
68,-2463.950000000012,9431.790000000035,-2509.56,-1518.5708601220394
69,-2463.950000000012,9431.790000000035,-2509.56,-721.1246402679554
70,-2463.950000000012,9431.790000000035,-2509.56,-270.2122137044838
71,-2463.950000000012,9431.790000000035,-2509.56,-269.7825561439977
72,-2346.200000000012,7290.969999999737,-2493.96,-1022.3080269361266
73,-2346.200000000012,7290.969999999737,-2493.96,-1264.939977082875
74,-2346.200000000012,7290.969999999737,-2493.96,-890.1296977777398
75,-2346.200000000012,7290.969999999737,-2493.96,-104.34123586446876
76,-2346.200000000012,7290.969999999737,-2493.96,-660.1312402661725
77,-2346.200000000012,7290.969999999737,-2493.96,-709.4365691228918
78,-2346.200000000012,7290.969999999737,-2493.96,-660.1312402661725
79,-2346.200000000012,7290.969999999737,-2493.96,-239.8724892321166
80,-2346.200000000012,7290.969999999737,-2493.96,-499.22297805712725
81,-2346.200000000012,7290.969999999737,-2493.96,-367.2147415498813
82,-2346.200000000012,7290.969999999737,-2493.96,-678.8704250297353
83,-2346.200000000012,7290.969999999737,-2493.96,-138.22039965133771
84,-2346.200000000012,7290.969999999737,-2493.96,-104.34123586446876
85,-2346.200000000012,7290.969999999737,-2493.96,-104.34123586446876
86,-2346.200000000012,7290.969999999737,-2493.96,-104.34123586446876
87,-2346.200000000012,7290.969999999737,-2493.96,-104.34123586446876
88,-2346.200000000012,7290.969999999737,-2493.96,-118.0530770284114
